category,case_id,inputs,metric,units,expected,calculated,tolerance,absolute_error,passed
timing_rate,exact_rate_100,rate=100;tick_us=1000;duration_us=2000000,pulse_count,pulses,200,200,0,0,true
timing_rate,exact_rate_100,rate=100;tick_us=1000;duration_us=2000000,final_position,steps,200,200,0,0,true
timing_rate,exact_rate_100,rate=100;tick_us=1000;duration_us=2000000,first_step_time,us,10000,10000,0,0,true
timing_rate,original_goto_negative_500,start=200;target=-500;rate=500;tick_us=1000,move_duration,us,1400000,1400000,0,0,true
timing_rate,original_goto_negative_500,start=200;target=-500;rate=500;tick_us=1000,pulse_count,pulses,700,700,0,0,true
timing_rate,fractional_rate_negative_37_5,rate=-37.5;tick_us=1000;duration_us=4000000,pulse_count,pulses,150,150,0,0,true
timing_rate,fractional_rate_negative_37_5,rate=-37.5;tick_us=1000;duration_us=4000000,final_position,steps,-150,-150,0,0,true
timing_rate,micros_rollover_rate_1000,rate=1000;tick_us=1000;start_clock=4294962295,pulse_count,pulses,10,10,0,0,true
timing_rate,micros_rollover_rate_1000,rate=1000;tick_us=1000;start_clock=4294962295,wrapped_clock,us,4999,4999,0,0,true
angle_steps,mount_model_ratio_16,motor_steps=200;ratio=16;angle=45,step_position,steps,400,400,0,0,true
angle_steps,mount_model_ratio_32,motor_steps=200;ratio=32;angle=45,step_position,steps,800,800,0,0,true
astronomical_coordinates,equator_on_south_meridian,ra_h=0;dec_deg=0;lst_deg=0;lat_deg=45,altitude,deg,45,45,0.001,0,true
astronomical_coordinates,equator_on_south_meridian,ra_h=0;dec_deg=0;lst_deg=0;lat_deg=45,azimuth,deg,180,180,0.001,0,true
astronomical_coordinates,equator_east_horizon,ra_h=6;dec_deg=0;lst_deg=0;lat_deg=0,altitude,deg,0,-2.504478061e-06,0.001,2.504478061e-06,true
astronomical_coordinates,equator_east_horizon,ra_h=6;dec_deg=0;lst_deg=0;lat_deg=0,azimuth,deg,90,90,0.001,0,true
astronomical_coordinates,equator_west_horizon,ra_h=18;dec_deg=0;lst_deg=0;lat_deg=0,altitude,deg,0,-2.504478061e-06,0.001,2.504478061e-06,true
astronomical_coordinates,equator_west_horizon,ra_h=18;dec_deg=0;lst_deg=0;lat_deg=0,azimuth,deg,270,270,0.001,0,true
astronomical_coordinates,general_northwest_case,ra_h=18;dec_deg=45;lst_deg=0;lat_deg=45,altitude,deg,30,29.99999809,0.001,1.907348633e-06,true
astronomical_coordinates,general_northwest_case,ra_h=18;dec_deg=45;lst_deg=0;lat_deg=45,azimuth,deg,305.2643897,305.2644043,0.001,1.461407498e-05,true
astronomical_coordinates,newfoundland_lst_reference,unix=1783353600;longitude_deg=-52.7,local_sidereal_time,deg,111.9483679,111.9482422,0.01,0.0001257383,true
angle_steps,wrap_negative_one,function=wrapDeg,wrapped_angle,deg,359,359,0.0001,0,true
angle_steps,wrap_positive_360,function=wrapDeg,wrapped_angle,deg,0,0,0.0001,0,true
angle_steps,wrap_positive_721,function=wrapDeg,wrapped_angle,deg,1,1,0.0001,0,true
angle_steps,wrap_negative_721,function=wrapDeg,wrapped_angle,deg,359,359,0.0001,0,true
angle_steps,signed_wrap_181,function=wrapSignedDeg,wrapped_angle,deg,-179,-179,0.0001,0,true
angle_steps,signed_wrap_negative_181,function=wrapSignedDeg,wrapped_angle,deg,179,179,0.0001,0,true
angle_steps,signed_wrap_540,function=wrapSignedDeg,wrapped_angle,deg,180,180,0.0001,0,true
angle_steps,wrapped_negative_one_to_steps,angle_deg=-1;wrapped_deg=359;steps_per_rev=3200,step_position,steps,3191,3191,0,0,true
angle_steps,wrapped_361_to_steps,angle_deg=361;wrapped_deg=1;steps_per_rev=3200,step_position,steps,9,9,0,0,true
angle_steps,wrapped_720_to_steps,angle_deg=720;wrapped_deg=0;steps_per_rev=3200,step_position,steps,0,0,0,0,true
angle_steps,shortest_350_to_90,current_deg=350;desired_deg=90;steps_per_rev=3200,azimuth_target,steps,4000,4000,0,0,true
